(('company', 'Apple'), 'provides', ('right', 'DataTransferRights'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'eventRegistrationDetails'), 0.5)
(('data', 'PersonalData'), 'includes', ('financialData', 'paymentCardNumber'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'marketing'), 0.5)
(('data', 'PersonalData'), 'includes', ('identifier', 'deviceIdentifiers'), 0.5)
(('company', 'CiscoSolutions'), 'collects', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'ConnectedDevices'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'UserInteractions'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'security'), 0.5)
(('application', 'SmartThings'), 'connectsTo', ('feature', 'Features'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'ProductInteractionData'), 0.5)
(('company', 'Apple'), 'doesNotUse', ('data', 'PrivatePersonalDataForAITraining'), 0.5)
(('data', 'PersonalData'), 'processedBy', ('organization', 'thirdParties'), 0.5)
(('application', 'SmartThings'), 'uses', ('technology', 'Cookies'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'serviceDelivery'), 0.5)
(('company', 'Cisco'), 'protects', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'denies', ('request', 'LegalObligationRequests'), 0.5)
(('company', 'Apple'), 'provides', ('right', 'ProcessingRestrictionRights'), 0.5)
(('organization', 'thirdPartyDevelopers'), 'receives', ('performanceData', 'performanceData'), 0.5)
(('account', 'AppleAccount'), 'includes', ('data', 'EmailAddress'), 0.5)
(('application', 'SmartThings'), 'integratesWith', ('device', 'SamsungVisualDisplay'), 0.5)
(('data', 'ContactInformation'), 'includes', ('field', 'PhysicalAddress'), 0.5)
(('data', 'PersonalData'), 'anonymizedWhen', ('condition', 'noLongerNeeded'), 0.5)
(('person', 'user'), 'optsOut', ('communication', 'thirdPartyCommunications'), 0.5)
(('company', 'Cisco'), 'personalizes', ('experience', 'userExperience'), 0.5)
(('company', 'Apple'), 'uses', ('control', 'AdministrativeSafeguards'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'accountInformation'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'GovernmentIDData'), 0.5)
(('application', 'SmartThings'), 'connectsTo', ('device', 'Devices'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'FamilyHub'), 0.5)
(('application', 'SmartThings'), 'enables', ('process', 'VoiceCommands'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'accessPersonalData'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'privacyDataSheets'), 0.5)
(('company', 'Cisco'), 'holds', ('certification', 'PRPCertification'), 0.5)
(('company', 'Cisco'), 'notifies', ('user', 'usersOfSecurityBreaches'), 0.5)
(('manufacturer', 'Samsung'), 'sends', ('data', 'Offers'), 0.5)
(('data', 'SongPlaybackData'), 'usedFor', ('purpose', 'ContentDelivery'), 0.5)
(('organization', 'thirdPartyPartners'), 'uses', ('trackingTechnology', 'cookies'), 0.5)
(('organization', 'serviceVendors'), 'processes', ('data', 'PersonalData'), 0.5)
(('person', 'user'), 'accepts', ('privacyPolicy', 'PrivacyStatementUpdates'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collectsWithConsent', ('data', 'Location'), 0.5)
(('data', 'linkedData'), 'treatedAs', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'usesProtocol', ('protocol', 'Bluetooth'), 0.5)
(('data', 'TransactionInformation'), 'includes', ('data', 'ProductPurchases'), 0.5)
(('data', 'PersonalData'), 'retainedFor', ('retentionReason', 'legalObligations'), 0.5)
(('safeguard', 'safeguards'), 'prevents', ('threat', 'unauthorizedAccessToPersonalData'), 0.5)
(('trackingTechnology', 'webBeacons'), 'collects', ('usageData', 'usageData'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('behaviorData', 'clickstreamBehavior'), 0.5)
(('data', 'ContactInformation'), 'includes', ('field', 'EmailAddress'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'PublicInternetData'), 0.5)
(('company', 'Cisco'), 'processes', ('paymentData', 'paymentData'), 0.5)
(('company', 'Apple'), 'uses', ('control', 'PhysicalSafeguards'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'socialMediaAccountInformation'), 0.5)
(('organization', 'CiscoUS'), 'processes', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'processes', ('data', 'PersonalData'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('networkIdentifier', 'MACAddress'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'name'), 0.5)
(('data', 'PaymentInformation'), 'includes', ('financialData', 'BankDetails'), 0.5)
(('application', 'SmartThings'), 'integratesWith', ('service', 'ThirdPartyAnalyticsServices'), 0.5)
(('data', 'PersonalData'), 'includes', ('identifier', 'DeviceSerialNumber'), 0.5)
(('company', 'Cisco'), 'updates', ('privacyPolicy', 'PrivacyStatement'), 0.5)
(('organization', 'CiscoUS'), 'adheresTo', ('frameworkPrinciple', 'DPFPrinciples'), 0.5)
(('data', 'HealthInformation'), 'is', ('type', 'SensitiveData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'DeviceInformation'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'businessPartners'), 0.5)
